id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
526137,2016,MARZO,DOMINGO,2016-03-06,20,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.574520696,-58.485976216,1
526176,2016,MARZO,VIERNES,2016-03-04,18,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.574922495,-58.485484764,1
526230,2016,MARZO,DOMINGO,2016-03-06,21,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.575170487,-58.484944544,1
526281,2016,MARZO,SABADO,2016-03-12,21,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.572514842,-58.4846920099999,1
526326,2016,ABRIL,MARTES,2016-04-19,11,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.56291719,-58.483726389,1
526380,2016,ABRIL,DOMINGO,2016-04-24,4,Robo,Robo total,SI,SI,VILLA URQUIZA,12,-34.5727929609999,-58.4830256549999,1
526437,2016,ABRIL,DOMINGO,2016-04-17,1,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.575321152,-58.482365608,1
526440,2016,ABRIL,DOMINGO,2016-04-17,20,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.575321152,-58.482365608,1
526482,2016,ABRIL,MIERCOLES,2016-04-20,23,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5664659729999,-58.4818194969999,1
526590,2016,MAYO,DOMINGO,2016-05-01,5,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.570894735,-58.489647049,1
528453,2016,DICIEMBRE,LUNES,2016-12-05,2,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.572649939,-58.484808567,1
528522,2016,DICIEMBRE,SABADO,2016-12-17,8,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5791976089999,-58.483930652,1
528663,2016,DICIEMBRE,DOMINGO,2016-12-11,16,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.573642067,-58.4823996489999,1
529611,2016,FEBRERO,LUNES,2016-02-29,18,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.576092133,-58.477176028,1
529824,2016,MARZO,DOMINGO,2016-03-13,11,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.574472573,-58.483420006,1
529875,2016,MARZO,MARTES,2016-03-01,13,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5625608999999,-58.482840978,1
529923,2016,MARZO,MARTES,2016-03-01,20,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5697359119999,-58.482319699,1
529971,2016,MARZO,VIERNES,2016-03-11,12,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.566529616,-58.481926357,1
530004,2016,MARZO,MARTES,2016-03-01,17,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5679351859999,-58.481646057,1
530079,2016,MARZO,MARTES,2016-03-01,21,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.571467314,-58.480828473,1
530091,2016,MARZO,JUEVES,2016-03-10,20,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.577941364,-58.4806743509999,1
530121,2016,MARZO,MIERCOLES,2016-03-09,13,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.575185905,-58.4804510719999,1
530286,2016,ABRIL,LUNES,2016-04-18,11,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5713805839999,-58.480623496,1
530358,2016,ABRIL,MIERCOLES,2016-04-27,23,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.567966671,-58.4797843819999,1
530361,2016,ABRIL,MIERCOLES,2016-04-27,20,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.567966671,-58.4797843819999,1
530367,2016,ABRIL,JUEVES,2016-04-28,13,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.57863157,-58.479761293,1
